Clock Time (sec),Sim Clock Time (sec)
51.565070352,36.3
51.615070353,36.35
51.715070355,36.4
51.715070355,36.45
51.765070355,36.5
51.815070356,36.55
51.865070357,36.6
51.965070358,36.65
51.965070358,36.7
52.015070359,36.75
52.06507036,36.8
52.115070361,36.85
52.165070361,36.9
52.215070362,36.95
52.265070363,37.0
52.315070364,37.05
52.365070364,37.1
52.465070366,37.15
52.465070366,37.2
52.515070367,37.25
52.565070367,37.3
52.615070368,37.35
52.665070369,37.4
52.71507037,37.45
52.76507037,37.5
52.815070371,37.55
52.865070372,37.6
52.915070373,37.65
52.965070373,37.7
53.015070374,37.75
53.065070375,37.8
53.115070376,37.85
53.165070376,37.9
53.215070377,37.95
53.265070378,38.0
53.315070379,38.05
53.365070379,38.1
53.41507038,38.15
53.465070381,38.2
53.515070382,38.25
53.565070382,38.3
53.665070384,38.35
53.665070384,38.4
53.765070385,38.45
53.765070385,38.5
53.815070386,38.55
53.865070387,38.6
53.915070388,38.65
53.965070388,38.7
54.015070389,38.75
54.06507039,38.8
54.11507039,38.85
54.165070391,38.9
54.215070392,38.95
54.265070393,39.0
54.315070393,39.05
54.365070394,39.1
54.415070395,39.15
54.465070396,39.2
54.515070396,39.25
54.565070397,39.3
54.665070399,39.35
54.665070399,39.4
54.715070399,39.45
54.7650704,39.5
54.815070401,39.55
54.865070402,39.6
54.915070402,39.65
54.965070403,39.7
55.015070404,39.75
55.065070405,39.8
55.115070405,39.85
55.165070406,39.9
55.215070407,39.95
55.265070408,40.0
55.365070409,40.05
55.365070409,40.1
55.41507041,40.15
55.465070411,40.2
55.515070410999996,40.25
55.565070412,40.3
55.615070413,40.35
55.665070414,40.4
55.715070414,40.45
55.765070415,40.5
55.815070416,40.55
55.865070417,40.6
55.915070417,40.65
55.965070418,40.7
56.015070419,40.75
56.06507042,40.8
56.11507042,40.85
56.215070422,40.9
56.215070422,40.95
56.265070423,41.0
56.315070423,41.05
56.365070424,41.1
56.415070425,41.15
56.465070425,41.2
56.515070426,41.25
56.565070427,41.3
56.615070428,41.35
56.665070428,41.4
56.715070429,41.45
56.76507043,41.5
56.815070431,41.55
56.865070431,41.6
56.915070432,41.65
56.965070433,41.7
57.015070434,41.75
57.065070434,41.8
57.115070435,41.85
57.165070436,41.9
57.215070437,41.95
57.265070437,42.0
57.315070438,42.05
57.41507044,42.1
57.41507044,42.15
57.46507044,42.2
57.515070441,42.25
57.615070443,42.3
57.615070443,42.35
57.665070443,42.4
57.715070444,42.45
57.765070445,42.5
57.815070446,42.55
57.865070446,42.6
57.915070447,42.65
57.965070448,42.7
58.065070449,42.75
58.065070449,42.8
58.165070451,42.85
58.165070451,42.9
58.215070452,42.95
58.265070452,43.0
58.315070453,43.05
58.365070454,43.1
58.415070455,43.15
58.465070455,43.2
58.565070457,43.25
58.565070457,43.3
58.615070458,43.35
58.665070458,43.4
58.715070459,43.45
58.76507046,43.5
58.815070461,43.55
58.865070461,43.6
58.915070462,43.65
58.965070463,43.7
59.065070464,43.75
59.065070464,43.8
59.115070465,43.85
59.165070466,43.9
59.265070467,43.95
59.265070467,44.0
59.315070468,44.05
59.365070469,44.1
59.415070469,44.15
59.46507047,44.2
59.515070471,44.25
59.565070472,44.3
59.665070473,44.35
59.665070473,44.4
59.715070474,44.45
59.765070475,44.5
59.815070475,44.55
59.865070476,44.6
59.915070477,44.65
59.965070478,44.7
60.015070478,44.75
60.065070479,44.8
60.11507048,44.85
60.165070481,44.9
60.215070481,44.95
60.265070482,45.0
60.315070483,45.05
60.365070484,45.1
