,Test_Num,Trial_Num,PSM_Count,PSM_Count_Diff,PSM_Hex,FLIR_Ped_Time,V2XHub_FLIR_Rx_Time,FLIR_Ped_V2XHub_Diff(s),V2XHub_FLIR_IPG(s),V2XHub_PSM_Create_Time,V2XHub_Processing_Time(s),V2XHub_RSU_Communication(s),RSU_Tx_Time,Carma_OBU_Rx_Time,psm_speed_tx,Incoming_psm_timestamp_converted,External_Object_timestamp_converted,External_Object_Speed,V2XHub_PSM_TTI(s),RSU_TTI(s),OBU_IPG(s),RSU_OBU_Latency(s),FLIR_Rx_OBU_Latency(s),FLIR_Rx_Incoming_PSM_Latency(s),Platform_Processing_Time(s),End_To_End_Latency(s),PER
2475,2,4,68,1.0,00203320000204d312616e40004cdcf8d63d4dc961ffffffff02c44c0480fcfccb85e004d2d693a3fed693a400010000400010000000,1653392928.617,1653392928.6220002,0.005000114440917969,0.10500001907348633,1653392928.623,0.0009996891021728516,0.00351715087890625,1653392928.626517,1653392928.627342,88,1653392928.61186,1653392928.63273,88.0,0.10500001907348633,0.10502243041992188,0.10500597953796388,0.0008249282836914062,0.005341768264770508,-0.010140180587768556,0.020869970321655273,0.01072978973388672,
2476,2,4,70,1.0,002033200002065d1a616e40004cdcf8c03d4dc962ffffffff021c4c0480fcfccb85e0065cd693a3fed693a400010000400010000000,1653392928.814,1653392928.819,0.005000114440917969,0.0989999771118164,1653392928.82,0.0009999275207519533,0.003541231155395508,1653392928.8235412,1653392928.82435,67,1653392928.852065,1653392928.93671,67.0,0.0989999771118164,0.10046219825744628,0.10052871704101562,0.0008089542388916018,0.005350112915039063,0.033065080642700195,0.08464479446411133,0.11770987510681152,
2477,2,4,79,1.0,00203320000205993e616e40004cdcf8563d4dc94fffffffff02544c0480fcfccb85e00598d693a3fed693a400010000400010000000,1653392929.716,1653392929.72,0.003999948501586914,0.10200023651123047,1653392929.721,0.0009999275207519533,0.0021190643310546875,1653392929.723119,1653392929.7238774,74,1653392929.792595,1653392929.792618,74.0,0.10199999809265137,0.10063862800598143,0.10059881210327147,0.0007584095001220702,0.003877401351928711,0.07259488105773926,2.312660217285156e-05,0.07261800765991211,
2478,2,4,80,1.0,002033200002066142616e40004cdcf8553d4dc94affffffff02544c0480fcfccb85e00660d693a3fed693a400010000400010000000,1653392929.816,1653392929.82,0.003999948501586914,0.09999990463256836,1653392929.821,0.0010001659393310547,0.0036249160766601562,1653392929.824625,1653392929.8254108,74,1653392929.820111,1653392929.8688734,74.0,0.10000014305114746,0.10150599479675293,0.1015334129333496,0.00078582763671875,0.005410909652709961,0.00011110305786132812,0.048761844635009766,0.04887294769287109,
2479,2,4,81,1.0,002033200002072946616e40004cdcf8543d4dc946ffffffff01b4560480fcfccb85e00728d693a3fed693a400010000400010000000,1653392929.916,1653392929.921,0.005000114440917969,0.1010000705718994,1653392929.9220002,0.0010001659393310547,0.0035049915313720703,1653392929.9255052,1653392929.9262722,54,1653392929.917429,1653392929.963845,54.0,0.1010000705718994,0.10088014602661133,0.1008613109588623,0.0007669925689697268,0.005272150039672852,-0.003571033477783203,0.046416044235229485,0.04284501075744629,
2480,2,4,82,1.0,00203320000200214a616e40004cdcf82f3d4dc948ffffffff0294560480fcfccb85e00020d693a3fed693a400010000400010000000,1653392930.016,1653392930.02,0.003999948501586914,0.0989999771118164,1653392930.0210001,0.0010001659393310547,0.003894805908203125,1653392930.024895,1653392930.025768,82,1653392930.014145,1653392930.095942,82.0,0.0989999771118164,0.09938979148864746,0.09949588775634766,0.0008730888366699219,0.005768060684204102,-0.005855083465576172,0.08179712295532228,0.0759420394897461,
2481,2,4,83,1.0,00203320000200eb4e616e40004cdcf8253d4dc946ffffffff023c560480fcfccb85e000ead693a3fed693a400010000400010000000,1653392930.117,1653392930.121,0.003999948501586914,0.1010000705718994,1653392930.1220002,0.0010001659393310547,0.003900289535522461,1653392930.1259005,1653392930.126776,71,1653392930.123533,1653392930.2107599,71.0,0.1010000705718994,0.10100555419921876,0.10100793838500977,0.0008754730224609375,0.005775928497314453,0.002532958984375,0.08722710609436035,0.08976006507873535,
2482,2,4,84,1.0,00203320000201ad52616e40004cdcf8143d4dc947ffffffff027c560480fcfccb85e001acd693a3fed693a400010000400010000000,1653392930.214,1653392930.2189999,0.004999876022338867,0.09799981117248537,1653392930.22,0.0010001659393310547,0.003378868103027344,1653392930.223379,1653392930.2241518,79,1653392930.320298,1653392930.390087,79.0,0.09799981117248537,0.09747838973999023,0.09737586975097656,0.0007729530334472656,0.005151987075805664,0.10129809379577637,0.06978893280029297,0.17108702659606936,
2483,2,4,85,1.0,002033200002027556616e40004cdcf8133d4dc943ffffffff027c560480fcfccb85e00274d693a3fed693a400010000400010000000,1653392930.314,1653392930.3179998,0.003999948501586914,0.0989999771118164,1653392930.319,0.0010001659393310547,0.0035240650177001953,1653392930.322524,1653392930.323427,79,1653392930.320298,1653392930.390087,79.0,0.0989999771118164,0.09914517402648926,0.0992751121520996,0.0009028911590576172,0.005427122116088867,0.002298116683959961,0.06978893280029297,0.07208704948425293,
2484,2,4,91,1.0,00203320000207316e616e40004cdcf7d33d4dc92fffffffff02cc5b0480fcfccb85e00730d693a3fed693a400010000400010000000,1653392930.92,1653392930.927,0.006999969482421875,0.10400009155273438,1653392930.928,0.0009999275207519533,0.003926992416381836,1653392930.931927,1653392930.9326599,89,1653392930.917594,1653392930.975937,89.0,0.10400009155273438,0.10451889038085938,0.1043088436126709,0.0007328987121582031,0.005659818649291992,-0.009406089782714844,0.05834293365478516,0.04893684387207031,
