Message Time (ms),Map Position X (m),Map Position Y (m),Map Velocity X (mps),Map Velocity Y (mps)
92300.001376,260.3234558105469,179.0,1.1999999284744263,-0.0
92400.001377,260.4434509277344,179.0,1.1999999284744263,-0.0
92500.001379,260.5634460449219,179.0,1.1999999284744263,-0.0
92600.00138,260.6834411621094,179.0,1.1999999284744263,-0.0
92700.001382,260.8034362792969,179.0,1.1999999284744263,-0.0
92800.001383,260.9234619140625,179.0,1.1999999284744263,-0.0
92900.001385,261.04345703125,179.0,1.1999999284744263,-0.0
93000.00138599999,261.1634521484375,179.0,1.1999999284744263,-0.0
93100.00138799999,261.283447265625,179.0,1.1999999284744263,-0.0
93200.001389,261.4034423828125,179.0,1.1999999284744263,-0.0
93300.001391,261.5234375,179.0,1.1999999284744263,-0.0
93400.00139199999,261.6434631347656,179.0,1.1999999284744263,-0.0
