condition,run,object_id,t_flir_detect,t_flir_log,t_streets_rx,t_kafka_produce,t_kafka_sdo_create,t_sdss_consume,t_sdss_send,t_kafka_sdsm_create,t_streets_sdsm_rx,t_streets_encode,t_pc2_tena_rx,t_pc2_tena_tx,sdsm_uper_hex,t_pc1_tena_rx,t_pc1_bus,t_immediate_fwd,t_rsu_broadcast,t_ros_inbound,t_ros_j3224,t_ros_fused,t_obu_radio_rx,stages_reached,reached_vehicle,last_stage_reached,d_flir_detect__flir_log_ms,d_flir_log__streets_rx_ms,d_streets_rx__kafka_produce_ms,d_kafka_produce__kafka_sdo_create_ms,d_kafka_sdo_create__sdss_consume_ms,d_sdss_consume__sdss_send_ms,d_sdss_send__kafka_sdsm_create_ms,d_kafka_sdsm_create__streets_sdsm_rx_ms,d_streets_sdsm_rx__streets_encode_ms,d_streets_encode__pc2_tena_rx_ms,d_pc2_tena_rx__pc2_tena_tx_ms,d_pc2_tena_tx__pc1_tena_rx_ms,d_pc1_tena_rx__pc1_bus_ms,d_pc1_bus__immediate_fwd_ms,d_immediate_fwd__rsu_broadcast_ms,d_rsu_broadcast__obu_radio_rx_ms,d_obu_radio_rx__ros_inbound_ms,d_ros_inbound__ros_j3224_ms,d_ros_j3224__ros_fused_ms,lat_flir_log_ms,lat_streets_rx_ms,lat_kafka_produce_ms,lat_kafka_sdo_create_ms,lat_sdss_consume_ms,lat_sdss_send_ms,lat_kafka_sdsm_create_ms,lat_streets_sdsm_rx_ms,lat_streets_encode_ms,lat_pc2_tena_rx_ms,lat_pc2_tena_tx_ms,lat_pc1_tena_rx_ms,lat_pc1_bus_ms,lat_immediate_fwd_ms,lat_rsu_broadcast_ms,lat_obu_radio_rx_ms,lat_ros_inbound_ms,lat_ros_j3224_ms,lat_ros_fused_ms
5sec,5sec_run1,15837,1789411952894,1789411952903,1789411952905,1789411952905,1789411952905,1789411952913,1789411952954,1789411952954,1789411952960,1789411952960,1789411952961,1789411952961,00293235313233343fdfaa5d2d202e5a4299b9055e7a9bd50e2000000000000160590f77585c0c65e3fd63fffff817e80023a6f880,1789411952964,1789411952964,1789411952964,1789411952969.5281,1789411952982.385,1789411953050.512,1789411953112.7822,1789411952983.321,20,True,t_ros_fused,9,2,0,0,8,41,0,6,0,1,0,3,0,0,5.528076171875,13.79296875,-0.93603515625,68.126953125,62.270263671875,9,11,11,11,19,60,60,66,66,67,67,70,70,70,75.528076171875,89.321044921875,88.385009765625,156.511962890625,218.7822265625
5sec,5sec_run1,15837,1789411952992,1789411953004,1789411953005,1789411953005,1789411953005,1789411953011,1789411953052,1789411953052,1789411953058,1789411953058,1789411953058,1789411953058,00293236313233343fdfaa5d2d20471a4299b9055e7a9bd50e2000000000000160590f7758600c65e3fd63fffff812a80023abf880,1789411953061,1789411953061,1789411953062,1789411953066.7451,1789411953075.3599,1789411953118.8494,1789411953232.1829,1789411953076.072,20,True,t_ros_fused,12,1,0,0,6,41,0,6,0,0,0,3,0,1,4.7451171875,9.326904296875,-0.712158203125,43.489501953125,113.33349609375,12,13,13,13,19,60,60,66,66,66,66,69,69,70,74.7451171875,84.072021484375,83.35986328125,126.849365234375,240.182861328125
5sec,5sec_run1,15837,1789411953092,1789411953106,1789411953106,1789411953106,1789411953106,1789411953113,1789411953152,1789411953152,1789411953158,1789411953158,1789411953158,1789411953158,00293237313233343fdfaa5d2d20601a4299b9055e7a9bd50e2000000000000160590f7758600c65dbfd63fffff810a80023d3f880,1789411953161,1789411953161,1789411953161,1789411953166.7012,1789411953181.7197,1789411953232.6653,1789411953314.2939,1789411953182.5791,20,True,t_ros_fused,14,0,0,0,7,39,0,6,0,0,0,3,0,0,5.701171875,15.8779296875,-0.859375,50.945556640625,81.628662109375,14,14,14,14,21,60,60,66,66,66,66,69,69,69,74.701171875,90.5791015625,89.7197265625,140.665283203125,222.2939453125
5sec,5sec_run1,15837,1789411953190,1789411953197,1789411953197,1789411953197,1789411953197,1789411953203,1789411953252,1789411953252,1789411953258,1789411953258,1789411953259,1789411953259,00293238313233343fdfaa5d2d20791a4299b9055e7a9bd50e2000000000000160590f7758680c65c3fd63fffff811a80023abf880,1789411953261,1789411953261,1789411953261,1789411953266.687,1789411953275.363,1789411953314.4792,1789411953387.9697,1789411953276.2991,20,True,t_ros_fused,7,0,0,0,6,49,0,6,0,1,0,2,0,0,5.68701171875,9.612060546875,-0.93603515625,39.1162109375,73.490478515625,7,7,7,7,13,62,62,68,68,69,69,71,71,71,76.68701171875,86.299072265625,85.363037109375,124.479248046875,197.9697265625
5sec,5sec_run1,15837,1789411953292,1789411953298,1789411953299,1789411953299,1789411953299,1789411953305,1789411953353,1789411953353,1789411953359,1789411953359,1789411953359,1789411953359,00293239313233343fdfaa5d2d20921a4299b9055e7a9bd50e2000000000000160590f7758600c65cbfd63fffff811a800239d0880,1789411953362,1789411953362,1789411953362,1789411953367.5239,1789411953377.1626,1789411953419.1565,1789411953492.8188,1789411953377.918,20,True,t_ros_fused,6,1,0,0,6,48,0,6,0,0,0,3,0,0,5.52392578125,10.39404296875,-0.75537109375,41.993896484375,73.662353515625,6,7,7,7,13,61,61,67,67,67,67,70,70,70,75.52392578125,85.91796875,85.16259765625,127.156494140625,200.81884765625
5sec,5sec_run1,15837,1789411953393,1789411953399,1789411953400,1789411953400,1789411953400,1789411953406,1789411953453,1789411953453,1789411953459,1789411953459,1789411953459,1789411953459,0029323a313233343fdfaa5d2d20ab1a4299b9055e7a9bd50e2000000000000160590f77585c0c65b3fd63fffff816a80023980880,1789411953462,1789411953462,1789411953462,1789411953467.5789,1789411953476.605,1789411953555.4607,1789411953605.9746,1789411953477.531,20,True,t_ros_fused,6,1,0,0,6,47,0,6,0,0,0,3,0,0,5.578857421875,9.9521484375,-0.926025390625,78.855712890625,50.513916015625,6,7,7,7,13,60,60,66,66,66,66,69,69,69,74.578857421875,84.531005859375,83.60498046875,162.460693359375,212.974609375
5sec,5sec_run1,15837,1789411953493,1789411953501,1789411953501,1789411953502,1789411953502,1789411953508,1789411953552,1789411953552,1789411953558,1789411953558,1789411953559,1789411953559,0029323b313233343fdfaa5d2d20c41a4299b9055e7a9bd50e2000000000000160590f77585c0c65abfd63fffff818680023980880,1789411953561,1789411953561,1789411953562,1789411953567.1689,1789411953581.2124,1789411953621.7197,1789411953686.5386,1789411953578.1479,20,True,t_ros_fused,8,0,1,0,6,44,0,6,0,1,0,2,0,1,5.1689453125,10.97900390625,3.064453125,40.50732421875,64.81884765625,8,8,9,9,15,59,59,65,65,66,66,68,68,69,74.1689453125,85.14794921875,88.21240234375,128.7197265625,193.53857421875
5sec,5sec_run1,15837,1789411953594,1789411953602,1789411953603,1789411953603,1789411953603,1789411953609,1789411953652,1789411953652,1789411953658,1789411953658,1789411953659,1789411953659,0029323c313233343fdfaa5d2d20dd1a4299b9055e7a9bd50e2000000000000160590f7758580c65abfd63fffff816280023980880,1789411953661,1789411953662,1789411953662,1789411953667.3579,1789411953681.2219,1789411953696.2944,1789411953788.8926,1789411953681.6951,20,True,t_ros_fused,8,1,0,0,6,43,0,6,0,1,0,2,1,0,5.35791015625,14.337158203125,-0.47314453125,15.072509765625,92.59814453125,8,9,9,9,15,58,58,64,64,65,65,67,68,68,73.35791015625,87.695068359375,87.221923828125,102.29443359375,194.892578125
5sec,5sec_run1,15837,1789411953694,1789411953704,1789411953705,1789411953705,1789411953705,1789411953711,1789411953752,1789411953752,1789411953758,1789411953758,1789411953759,1789411953759,0029323d313233343fdfaa5d2d20f61a4299b9055e7a9bd50e2000000000000160590f7758580c65abfd63fffff80d6800239d0880,1789411953761,1789411953761,1789411953761,1789411953766.689,1789411953782.6104,1789411953788.2781,1789411953788.8926,1789411953783.304,20,True,t_ros_fused,10,1,0,0,6,41,0,6,0,1,0,2,0,0,5.68896484375,16.614990234375,-0.693603515625,5.667724609375,0.614501953125,10,11,11,11,17,58,58,64,64,65,65,67,67,67,72.68896484375,89.303955078125,88.6103515625,94.278076171875,94.892578125
5sec,5sec_run1,15837,1789411953794,1789411953805,1789411953806,1789411953806,1789411953806,1789411953812,1789411953852,1789411953852,1789411953858,1789411953858,1789411953859,1789411953859,0029323e313233343fdfaa5d2d210f1a4299b9055e7a9bd50e2000000000000160590f7758580c6593fd63fffff810280023a6f880,1789411953862,1789411953862,1789411953862,1789411953867.6628,1789411953875.2068,1789411953876.1472,1789411953946.3513,1789411953875.9949,20,True,t_ros_fused,11,1,0,0,6,40,0,6,0,1,0,3,0,0,5.662841796875,8.33203125,-0.7880859375,0.9404296875,70.2041015625,11,12,12,12,18,58,58,64,64,65,65,68,68,68,73.662841796875,81.994873046875,81.206787109375,82.147216796875,152.351318359375
